,p,rmse_train,accuracy_train,recall_train,rmse_test,accuracy_test,recall_test,VaR,deuda_total,VaR_grupo,deuda_grupo,relacion_VaR,relacion_deuda,relacion_r_d_grupo
0,0.44,0.40767378707327584,0.8338020833333334,0.4268895691076054,0.4128155358833612,0.8295833333333333,0.3930635838150289,261664106.54999998,1220687832.0,114286664.82,170134302,0.4367685974467483,0.13937576630156825,0.6717438134257018
1,0.1,0.7476699918190288,0.4409895833333333,0.963032728985166,0.7667572410265628,0.41208333333333336,0.9547206165703276,261664106.54999998,1220687832.0,235447268.726,877234582,0.8998072828189358,0.7186395727093641,0.26839715802038455
2,0.2,0.4955005886306628,0.7544791666666667,0.7082646574052273,0.5131601439446883,0.7366666666666667,0.6801541425818882,261664106.54999998,1220687832.0,152830540.51,297023808,0.58407147439917,0.24332495189482645,0.5145396981443319
3,0.30000000000000004,0.42799191970565675,0.8168229166666666,0.5490934777489993,0.4339738855430512,0.8116666666666666,0.5308285163776493,261664106.54999998,1220687832.0,133049841.138,219950642,0.5084757053316987,0.18018582329900704,0.6049077189690585
4,0.4,0.4088856808449031,0.8328125,0.45349658582528846,0.41633319989322654,0.8266666666666667,0.4229287090558767,261664106.54999998,1220687832.0,119354973.166,181847254,0.4561381182145175,0.14897113679101537,0.6563474044320735
5,0.5,0.4067785023818245,0.83453125,0.38850953614315986,0.4153311931459037,0.8275,0.34778420038535646,261664106.54999998,1220687832.0,106782674.914,154419916,0.40809064843440984,0.12650238001225525,0.6915084380307525
